Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,A,1,H,1,12.03,0.12,20.349,3.278630128,10.57419513
145,887,A,1,H,1,12.09,0.121,20.421,3.177192519,10.56450109
145,887,A,1,H,1,12.14,0.121,20.606,3.113330443,10.54942532
145,887,A,1,H,1,12.2,0.122,20.927,3.07689907,10.53473749
145,887,A,1,H,1,12.26,0.123,21.068,3.084471098,10.53805305
145,887,A,1,H,1,12.32,0.123,21.239,3.153046528,10.531372
145,887,A,1,H,1,12.38,0.124,21.286,3.278625359,10.53069433
145,887,A,1,H,1,12.44,0.124,21.414,3.473207591,10.51902005
145,887,A,1,H,1,12.5,0.125,21.446,3.566793225,10.50634915
145,887,A,1,H,1,12.61,0.126,21.298,3.771542388,10.51262797
145,887,A,1,H,1,12.55,0.126,21.402,3.675950518,10.50929265
145,887,A,1,H,1,12.67,0.127,21.291,3.848137659,10.51196666
145,887,A,1,H,1,12.73,0.127,21.557,3.901736331,10.51230875
145,887,A,1,H,1,12.79,0.128,21.777,3.942338405,10.51565422
145,887,A,1,H,1,12.85,0.128,21.821,3.96994388,10.51600307
145,887,A,1,H,1,12.9,0.129,21.858,3.908117707,10.46496304
145,887,A,1,H,1,13.02,0.13,21.82,3.818344531,10.40167655
145,887,A,1,H,1,12.96,0.13,21.872,3.857729418,10.4243181
145,887,A,1,H,1,13.14,0.131,21.717,3.777584959,10.40140361
145,887,A,1,H,1,13.08,0.131,21.788,3.788963044,10.38503838
145,887,A,1,H,1,13.2,0.132,21.695,3.775210276,10.45177221
145,887,A,1,H,1,13.25,0.133,21.576,3.770400638,10.51574864
145,887,A,1,H,1,13.31,0.133,21.609,3.75103219,10.59612345
145,887,A,1,H,1,13.37,0.134,21.717,3.720667144,10.67550166
145,887,A,1,H,1,13.43,0.134,21.739,3.762305499,10.78688324
145,887,A,1,H,1,13.49,0.135,21.838,3.825947255,10.89726822
145,887,A,1,H,1,13.55,0.135,21.9,3.902592413,11.02465658
145,887,A,1,H,1,13.6,0.136,21.9,3.98779931,11.16664946
145,887,A,1,H,1,13.66,0.137,21.786,4.087450703,11.30004403
145,887,A,1,H,1,13.72,0.137,21.91,4.213105499,11.40644198
145,887,A,1,H,1,13.84,0.138,21.809,4.531425293,11.67624805
145,887,A,1,H,1,13.78,0.138,21.976,4.357763695,11.51484332
145,887,A,1,H,1,13.9,0.139,21.627,4.640090292,11.80965616
145,887,A,1,H,1,14.01,0.14,21.334,4.802984958,11.95307982
145,887,A,1,H,1,13.95,0.14,21.432,4.737313723,11.9046655
145,887,A,1,H,1,14.07,0.141,21.374,4.839659595,11.96149753
145,887,A,1,H,1,14.13,0.141,21.429,4.822337632,11.93091862
145,887,A,1,H,1,14.25,0.142,21.082,4.730703912,11.75977096
145,887,A,1,H,1,14.19,0.142,21.287,4.781019072,11.8733431
