Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,C,1,H,1,10.35,0.103,25.374,4.81152773,14.83263829
145,887,C,1,H,1,10.29,0.103,25.48,4.800601138,14.83693978
145,887,C,1,H,1,10.4,0.104,25.133,4.828634008,14.83455427
145,887,C,1,H,1,10.52,0.105,24.775,4.847491989,14.90995474
145,887,C,1,H,1,10.46,0.105,24.952,4.837562484,14.87525414
145,887,C,1,H,1,10.64,0.106,24.304,4.881354084,14.91635817
145,887,C,1,H,1,10.58,0.106,24.524,4.863422522,14.93265609
145,887,C,1,H,1,10.69,0.107,24.127,4.892464504,14.88527715
145,887,C,1,H,1,10.81,0.108,23.879,4.920332425,14.82868478
145,887,C,1,H,1,10.75,0.108,24.072,4.90439795,14.85298059
145,887,C,1,H,1,10.92,0.109,23.335,4.991381633,14.75131104
145,887,C,1,H,1,10.87,0.109,23.613,4.947267929,14.8053897
145,887,C,1,H,1,10.98,0.11,23.323,5.018319022,14.68801732
145,887,C,1,H,1,11.04,0.11,23.457,5.040257439,14.64072435
145,887,C,1,H,1,11.1,0.111,23.381,5.052196884,14.60443212
145,887,C,1,H,1,11.21,0.112,23.168,5.067255204,14.52506495
145,887,C,1,H,1,11.16,0.112,23.191,5.069137357,14.56214062
145,887,C,1,H,1,11.33,0.113,23.093,5.07514095,14.50048542
145,887,C,1,H,1,11.27,0.113,23.137,5.075197563,14.50677481
145,887,C,1,H,1,11.39,0.114,23.192,5.062085365,14.57419677
145,887,C,1,H,1,11.45,0.114,23.355,5.033030809,14.59590885
145,887,C,1,H,1,11.5,0.115,23.359,5.017152797,14.61783616
145,887,C,1,H,1,11.62,0.116,23.219,4.985048483,14.61526379
145,887,C,1,H,1,11.56,0.116,23.232,5.004100126,14.62554961
145,887,C,1,H,1,11.73,0.117,23.222,4.958123142,14.5879084
145,887,C,1,H,1,11.68,0.117,23.31,4.966997868,14.59497872
145,887,C,1,H,1,11.85,0.118,22.84,4.962026711,14.58334171
145,887,C,1,H,1,11.79,0.118,22.991,4.956074412,14.61462468
145,887,C,1,H,1,11.91,0.119,22.853,4.963980039,14.52105948
145,887,C,1,H,1,11.97,0.12,22.899,4.963934394,14.45677799
145,887,C,1,H,1,12.02,0.12,22.941,4.974063809,14.38871064
145,887,C,1,H,1,12.14,0.121,22.727,5.018977319,14.36115112
145,887,C,1,H,1,12.08,0.121,22.916,4.98802005,14.36243051
145,887,C,1,H,1,12.2,0.122,22.447,5.058935617,14.36487247
145,887,C,1,H,1,12.25,0.123,22.347,5.096068317,14.35880749
145,887,C,1,H,1,12.31,0.123,22.46,5.1190285,14.3345302
145,887,C,1,H,1,12.37,0.124,22.746,5.114989711,14.34525365
145,887,C,1,H,1,12.43,0.124,23.007,5.10795195,14.37597784
145,887,C,1,H,1,12.49,0.125,23.255,5.084915217,14.40170277
145,887,C,1,H,1,12.54,0.125,23.765,5.056052059,14.43164078
145,887,C,1,H,1,12.6,0.126,24.367,5.018017212,14.49636707
145,887,C,1,H,1,12.66,0.127,24.867,4.986983393,14.5870941
145,887,C,1,H,1,12.72,0.127,25.3,4.948950603,14.69682187
145,887,C,1,H,1,12.77,0.128,25.682,4.908090729,14.94176224
145,887,C,1,H,1,12.83,0.128,26.011,4.861059824,15.03549137
145,887,C,1,H,1,12.95,0.129,25.941,4.863001098,15.13495185
145,887,C,1,H,1,12.89,0.129,26.037,4.855029947,15.09622124
145,887,C,1,H,1,13.01,0.13,25.952,4.864973278,15.0746832
145,887,C,1,H,1,13.12,0.131,25.564,4.901091611,14.98535927
145,887,C,1,H,1,13.06,0.131,25.816,4.884117547,15.01262656
145,887,C,1,H,1,13.24,0.132,24.893,4.972042826,14.75182691
145,887,C,1,H,1,13.18,0.132,25.204,4.929066704,14.86809272
145,887,C,1,H,1,13.29,0.133,24.673,5.009190379,14.66577264
145,887,C,1,H,1,13.41,0.134,23.633,5.123147421,14.45324448
145,887,C,1,H,1,13.35,0.134,24.256,5.061168386,14.56150819
145,887,C,1,H,1,13.53,0.135,22.406,5.255108576,14.19971929
145,887,C,1,H,1,13.47,0.135,22.952,5.193127484,14.34498151
145,887,C,1,H,1,13.64,0.136,21.715,5.336243248,13.89840713
145,887,C,1,H,1,13.58,0.136,22.038,5.298260271,14.056668
145,887,C,1,H,1,13.7,0.137,21.536,5.370227253,13.736147
145,887,C,1,H,1,13.76,0.138,21.417,5.395212287,13.54488761
145,887,C,1,H,1,13.82,0.138,21.499,5.400198348,13.42862896
145,887,C,1,H,1,13.93,0.139,21.496,5.412342132,13.26432337
145,887,C,1,H,1,13.87,0.139,21.537,5.406354185,13.32358066
145,887,C,1,H,1,14.05,0.14,21.387,5.428321111,13.16781102
145,887,C,1,H,1,13.99,0.14,21.436,5.421331108,13.21106682
145,887,C,1,H,1,14.1,0.141,21.283,5.429480233,13.21376508
145,887,C,1,H,1,14.22,0.142,21.174,5.422465039,13.15625692
145,887,C,1,H,1,14.16,0.142,21.278,5.421472122,13.22351063
145,887,C,1,H,1,14.34,0.143,20.907,5.418453958,13.14575173
145,887,C,1,H,1,14.28,0.143,20.956,5.435458985,13.12400396
145,887,C,1,H,1,14.39,0.144,20.989,5.391617222,13.16770878
145,887,C,1,H,1,14.45,0.145,20.986,5.361614081,13.27845791
145,887,C,1,H,1,14.51,0.145,21.095,5.309611968,13.41020778
145,887,C,1,H,1,14.57,0.146,21.254,5.275610884,13.5219584
145,887,C,1,H,1,14.62,0.146,21.364,5.242777433,13.71291781
145,887,C,1,H,1,14.68,0.147,21.687,5.193778233,13.84766978
145,887,C,1,H,1,14.74,0.147,22.033,5.140780063,14.0014225
145,887,C,1,H,1,14.8,0.148,22.245,5.09078292,14.15617595
145,887,C,1,H,1,14.86,0.149,22.313,5.060786806,14.30893015
145,887,C,1,H,1,14.91,0.149,22.42,5.028957496,14.45389254
145,887,C,1,H,1,14.97,0.15,22.561,4.993963267,14.6046481
145,887,C,1,H,1,15.03,0.15,22.701,4.966970066,14.73040439
145,887,C,1,H,1,15.09,0.151,22.821,4.932977894,14.86616143
145,887,C,1,H,1,15.14,0.151,22.956,4.897151869,14.95612619
145,887,C,1,H,1,15.2,0.152,23.106,4.881161582,15.05988459
145,887,C,1,H,1,15.26,0.153,23.004,4.893172323,15.08864372
145,887,C,1,H,1,15.32,0.153,23.061,4.910184093,15.0814036
145,887,C,1,H,1,15.38,0.154,23.111,4.932196891,15.00316421
145,887,C,1,H,1,15.43,0.154,23.192,4.954375008,14.91013196
145,887,C,1,H,1,15.49,0.155,23.257,4.981389691,14.83989393
145,887,C,1,H,1,15.55,0.155,23.328,5.010405402,14.66165665
145,887,C,1,H,1,15.61,0.156,23.135,5.051422142,14.56842011
145,887,C,1,H,1,15.72,0.157,22.923,5.094622168,14.41215504
145,887,C,1,H,1,15.66,0.157,23.009,5.070603544,14.49639022
145,887,C,1,H,1,15.84,0.158,22.793,5.134662503,14.24868689
145,887,C,1,H,1,15.78,0.158,22.852,5.118641822,14.34592059
145,887,C,1,H,1,15.9,0.159,22.778,5.154684213,14.14145393
145,887,C,1,H,1,15.95,0.16,22.806,5.175869757,14.02442703
145,887,C,1,H,1,16.01,0.16,22.855,5.254893352,13.88319542
145,887,C,1,H,1,16.07,0.161,23.016,5.299917975,13.77496456
145,887,C,1,H,1,16.13,0.161,23.02,5.312943627,13.67273444
145,887,C,1,H,1,16.24,0.162,22.714,5.259159992,13.49548114
145,887,C,1,H,1,16.18,0.162,22.902,5.297132455,13.5647099
145,887,C,1,H,1,16.3,0.163,22.596,5.194188557,13.46225311
145,887,C,1,H,1,16.42,0.164,22.506,4.963248772,13.48179929
145,887,C,1,H,1,16.36,0.164,22.516,5.089218151,13.45502583
145,887,C,1,H,1,16.53,0.165,22.207,4.67947425,13.53455256
145,887,C,1,H,1,16.47,0.165,22.395,4.817441743,13.52577774
145,887,C,1,H,1,16.65,0.166,21.426,4.419542349,13.61010442
145,887,C,1,H,1,16.59,0.166,21.827,4.551507785,13.57332812
145,887,C,1,H,1,16.71,0.167,21.206,4.275577941,13.63788146
145,887,C,1,H,1,16.82,0.168,20.838,4.01381253,13.62464129
145,887,C,1,H,1,16.76,0.168,20.954,4.137775053,13.65486289
145,887,C,1,H,1,16.94,0.169,20.477,3.777890569,13.60720031
145,887,C,1,H,1,16.88,0.169,20.711,3.881851036,13.62642043
145,887,C,1,H,1,16.99,0.17,20.24,3.694090966,13.61718411
145,887,C,1,H,1,17.11,0.171,20.065,3.567174833,13.66774732
145,887,C,1,H,1,17.05,0.171,20.141,3.613132386,13.65796534
145,887,C,1,H,1,17.17,0.172,20.086,3.538218309,13.67253004
145,887,C,1,H,1,17.23,0.172,20.196,3.532262813,13.6243135
145,887,C,1,H,1,17.28,0.173,20.328,3.559467351,13.54630029
145,887,C,1,H,1,17.34,0.173,20.493,3.613513741,13.46208511
145,887,C,1,H,1,17.4,0.174,20.696,3.688561158,13.36287067
145,887,C,1,H,1,17.46,0.175,20.898,3.693609604,13.29965697
145,887,C,1,H,1,17.51,0.175,21.087,3.697817428,13.21864612
145,887,C,1,H,1,17.57,0.176,21.387,3.701867759,13.15343378
145,887,C,1,H,1,17.63,0.176,21.607,3.712919118,13.11722218
145,887,C,1,H,1,17.69,0.177,21.738,3.726971506,13.09401132
145,887,C,1,H,1,17.75,0.177,21.934,3.716024922,13.0908012
145,887,C,1,H,1,17.8,0.178,22.072,3.716236887,13.11079334
145,887,C,1,H,1,17.92,0.179,21.929,3.769348518,13.13337656
145,887,C,1,H,1,17.86,0.179,22.059,3.738292188,13.12058458
145,887,C,1,H,1,18.03,0.18,21.854,3.824621126,13.23416378
145,887,C,1,H,1,17.98,0.18,21.867,3.792405876,13.18316928
145,887,C,1,H,1,18.09,0.181,21.902,3.836680369,13.29195786
145,887,C,1,H,1,18.15,0.182,21.886,3.87674064,13.31475268
145,887,C,1,H,1,18.21,0.182,21.907,3.90180194,13.37254825
145,887,C,1,H,1,18.32,0.183,21.804,3.94108366,13.51534204
145,887,C,1,H,1,18.27,0.183,21.844,3.911864268,13.43134455
145,887,C,1,H,1,18.38,0.184,21.86,3.981147873,13.5931397
145,887,C,1,H,1,18.44,0.184,21.89,4.020213115,13.6989381
145,887,C,1,H,1,18.5,0.185,21.884,4.059279385,13.77473724
145,887,C,1,H,1,18.55,0.186,22.019,4.065502062,13.8147371
145,887,C,1,H,1,18.61,0.186,22.121,4.064570217,13.8525376
145,887,C,1,H,1,18.73,0.187,22.114,4.106709612,13.93214082
145,887,C,1,H,1,18.67,0.187,22.122,4.0946394,13.89933884
145,887,C,1,H,1,18.79,0.188,22.091,4.111780852,13.93094355
145,887,C,1,H,1,18.84,0.188,22.164,4.107007671,13.95794638
145,887,C,1,H,1,18.9,0.189,22.304,4.104080796,14.00075047
145,887,C,1,H,1,18.96,0.19,22.459,4.10315495,13.97855529
145,887,C,1,H,1,19.02,0.19,22.533,4.100230131,13.94036085
145,887,C,1,H,1,19.08,0.191,22.53,4.112306342,13.86916716
145,887,C,1,H,1,19.13,0.191,22.608,4.106537302,13.81417298
145,887,C,1,H,1,19.25,0.192,22.505,4.144694521,13.65478905
145,887,C,1,H,1,19.19,0.192,22.553,4.120615398,13.72498064
145,887,C,1,H,1,19.31,0.193,22.461,4.142774673,13.61459819
145,887,C,1,H,1,19.42,0.194,22.402,4.159090956,13.56141688
145,887,C,1,H,1,19.36,0.194,22.458,4.144008919,13.60760638
145,887,C,1,H,1,19.54,0.195,22.046,4.189258115,13.43504011
145,887,C,1,H,1,19.48,0.195,22.188,4.168174022,13.49522813
145,887,C,1,H,1,19.6,0.196,22.045,4.183343238,13.38985284
145,887,C,1,H,1,19.65,0.197,22.07,4.184581625,13.29986401
145,887,C,1,H,1,19.71,0.197,22.173,4.146668632,13.1416781
145,887,C,1,H,1,19.77,0.198,22.259,4.132756668,12.99949292
145,887,C,1,H,1,19.83,0.198,22.368,4.109845732,12.93030849
145,887,C,1,H,1,19.88,0.199,22.588,4.096087404,12.89732203
145,887,C,1,H,1,19.94,0.199,22.876,4.080178353,12.92013895
145,887,C,1,H,1,20,0.2,23.211,4.090270331,12.97995662
145,887,C,1,H,1,20.06,0.201,23.589,4.126363337,13.08277502
145,887,C,1,H,1,20.12,0.201,23.774,4.148457371,13.20559417
145,887,C,1,H,1,20.17,0.202,24.142,4.171703185,13.35061069
145,887,C,1,H,1,20.23,0.202,24.531,4.197799104,13.5474312
145,887,C,1,H,1,20.29,0.203,24.971,4.249896052,13.73225245
145,887,C,1,H,1,20.35,0.203,25.294,4.310994028,13.89507443
145,887,C,1,H,1,20.4,0.204,25.687,4.374243127,14.06409332
145,887,C,1,H,1,20.46,0.205,26.098,4.443342988,14.21991667
145,887,C,1,H,1,20.52,0.205,26.445,4.506443878,14.40874076
145,887,C,1,H,1,20.58,0.206,26.687,4.577545795,14.57256558
145,887,C,1,H,1,20.64,0.206,27.008,4.641648742,14.75539115
145,887,C,1,H,1,20.69,0.207,27.513,4.687901982,14.87841303
145,887,C,1,H,1,20.81,0.208,27.606,4.821112673,15.08506762
145,887,C,1,H,1,20.75,0.208,27.695,4.754006814,15.00723995
145,887,C,1,H,1,20.87,0.209,27.636,4.872219561,15.16889603
145,887,C,1,H,1,20.92,0.209,27.777,4.894476087,15.22192027
145,887,C,1,H,1,21.04,0.21,27.6,4.893694662,15.14158054
145,887,C,1,H,1,20.98,0.21,27.721,4.89858486,15.19975004
